Date,AGG,BNDX,DBC,EEM,GLD,QQQ,SPY,TIP,VGK,VNQ
2016-02-18,83.37898254394531,39.97723388671875,10.610241889953613,24.336524963378906,118.29000091552734,94.24663543701172,162.80361938476562,83.68907165527344,33.160465240478516,50.41668701171875
2016-02-19,83.39418029785156,40.01443099975586,10.517244338989258,24.2243709564209,117.58000183105469,94.52568817138672,162.72740173339844,83.75677490234375,33.15327072143555,50.70576095581055
2016-02-22,83.41695404052734,40.05155563354492,10.677877426147461,24.825178146362305,115.48999786376953,96.06034088134766,165.0835418701172,83.95987701416016,33.32602310180664,51.189754486083984
2016-02-23,83.43216705322266,40.05901336669922,10.534152030944824,24.29646873474121,117.22000122070312,94.47917175292969,162.99859619140625,84.21558380126953,32.74299621582031,51.055301666259766
2016-02-24,83.46253204345703,40.11103057861328,10.669422149658203,24.240392684936523,117.61000061035156,95.38138580322266,163.74440002441406,84.40367889404297,32.59904098510742,50.99481201171875
2016-02-25,83.67522430419922,40.177894592285156,10.660968780517578,24.320497512817383,117.91999816894531,96.32077026367188,165.72763061523438,84.74969482421875,33.04531478881836,52.036739349365234
2016-02-26,83.5233154296875,40.177894592285156,10.644060134887695,24.080175399780273,117.11000061035156,96.19987487792969,165.34628295898438,84.5315170288086,32.93733596801758,51.76786422729492
2016-02-29,83.62205505371094,40.267051696777344,10.779329299926758,24.288455963134766,118.63999938964844,95.33487701416016,164.04949951171875,84.81735229492188,32.81497573852539,51.56619644165039
2016-03-01,83.37162780761719,40.255916595458984,10.787782669067383,25.15361213684082,117.7699966430664,98.3948745727539,167.90582275390625,84.58421325683594,33.72909164428711,53.01819610595703
2016-03-02,83.28031158447266,40.13688659667969,10.846963882446289,25.490066528320312,118.68000030517578,98.43208312988281,168.66012573242188,84.7647476196289,33.76508331298828,53.40135955810547
2016-03-03,83.3792495727539,40.159210205078125,10.906145095825195,25.778446197509766,120.7300033569336,98.24608612060547,169.3212127685547,84.93771362304688,34.11779022216797,53.68370056152344
2016-03-04,83.24988555908203,40.174095153808594,11.117504119873047,26.29113006591797,120.54000091552734,98.28326416015625,169.87213134765625,84.6744384765625,34.27613830566406,53.6904182434082
2016-03-07,83.22704315185547,40.188961029052734,11.320409774780273,26.25107765197754,121.13999938964844,97.67871856689453,170.0077667236328,84.3359603881836,34.297725677490234,53.83159255981445
2016-03-08,83.43252563476562,40.2930908203125,11.168231010437012,25.80247688293457,120.58000183105469,96.8695297241211,168.151611328125,84.65943145751953,33.90904998779297,53.280364990234375
2016-03-09,83.39447021484375,40.188961029052734,11.337318420410156,25.962692260742188,119.58000183105469,97.49267578125,168.982177734375,84.60672760009766,34.0601921081543,53.576148986816406
2016-03-10,83.43252563476562,40.047637939453125,11.320409774780273,26.002750396728516,121.5,97.3438720703125,169.11782836914062,84.31339263916016,34.08179473876953,53.38120651245117
2016-03-11,83.28031158447266,40.1815299987793,11.36268138885498,26.547475814819336,119.41000366210938,99.04595947265625,171.84690856933594,84.28330993652344,35.003108978271484,54.57774353027344
2016-03-14,83.32596588134766,40.166656494140625,11.261228561401367,26.387258529663086,117.87000274658203,99.21337890625,171.62655639648438,84.1855239868164,34.909542083740234,54.584468841552734
2016-03-15,83.24988555908203,40.166656494140625,11.168231010437012,26.010757446289062,117.95999908447266,99.17616271972656,171.3468780517578,84.02002716064453,34.59974670410156,54.61137390136719
2016-03-16,83.60758972167969,40.263343811035156,11.36268138885498,26.531452178955078,120.58999633789062,100.05976104736328,172.3384552001953,84.91515350341797,35.01956558227539,55.270137786865234
2016-03-17,83.78265380859375,40.345149993896484,11.489497184753418,27.116233825683594,120.12999725341797,100.00394439697266,173.43179321289062,85.10324096679688,35.33082962036133,56.049922943115234
2016-03-18,83.85110473632812,40.426998138427734,11.481042861938477,27.260427474975586,119.80000305175781,100.16069030761719,174.1133575439453,85.38900756835938,35.29463195800781,55.807918548583984
2016-03-21,83.66848754882812,40.426998138427734,11.514860153198242,27.31650161743164,118.95999908447266,100.55245971679688,174.3603973388672,85.4115982055664,35.135379791259766,55.304222106933594
2016-03-22,83.61518859863281,40.47159957885742,11.599403381347656,27.252416610717773,119.30999755859375,100.86030578613281,174.2666473388672,85.19343566894531,34.947181701660156,55.304222106933594
2016-03-23,83.7978744506836,40.46417999267578,11.354228019714355,26.787796020507812,116.61000061035156,100.03006744384766,173.11659240722656,85.28373718261719,34.65764617919922,55.005126953125
2016-03-24,83.8054428100586,40.50879669189453,11.286592483520508,26.723712921142578,116.33000183105469,100.05805206298828,173.0399169921875,85.08818054199219,34.41878128051758,55.02554702758789
2016-03-28,83.86640930175781,40.441864013671875,11.320409774780273,26.811830520629883,116.5999984741211,99.91812896728516,173.14212036132812,85.19343566894531,34.59974670410156,55.52173614501953
2016-03-29,84.11753845214844,40.59062194824219,11.295045852661133,27.180322647094727,118.76000213623047,101.52264404296875,174.74375915527344,86.08855438232422,35.055755615234375,56.724884033203125
2016-03-30,84.08711242675781,40.5980339050293,11.252774238586426,27.4606876373291,117.0999984741211,102.01705169677734,175.51046752929688,86.14122009277344,35.4032096862793,56.61613845825195
2016-03-31,84.35347747802734,40.568321228027344,11.23586654663086,27.436662673950195,117.63999938964844,101.8677978515625,175.08445739746094,86.23149108886719,35.12089920043945,56.96281051635742
2016-04-01,84.27870178222656,40.55043411254883,11.041415214538574,27.35655975341797,116.93000030517578,102.94990539550781,176.2771453857422,86.2991714477539,34.87480545043945,56.888038635253906
